text	rating	consumer_id	language	reply_message	consumer_countryCode	consumersReviewCountOnSameDomain	dates_publishedDate	consumer_numberOfReviews	reply_publishedDate	likes	consumer_isVerified	title
"I got a reply from Veronique Keytrade and I can't reply to that message but basically Keytrade offered 50 euros with the promocode ""50inmypocket"" last year which I did, but every time I tried completing my sign up, the app and website did not work. The QR code also didn't work.

I emailed Keytrade and it was some automated message with help to log in. 

I got fed up and emailed them again but didn't get anymore replies. I can't even close the account. I would show screenshots if I could."	1	67b874bf30e5fe505796b407	en	"Hello trustpiloter,

Thanks for your additional explanation. 
Based on the information you provided (e-mail address), I cannot find your contact history. It would help if you could also provide your full name and client number.

Kind regards,
Veronique, Keytrade Bank team"	BE	2	2025-02-25T12:32:24.000Z	2	2025-03-06T14:54:14.000Z	0	False	reply to Veronique
I am an ex-Belgian, now residing in Australia, who receives a modest pension from the Federal Pensions Service. ING's excessive fee structure has prompted me to look for another bank into which my pension can be deposited. After failing to find a bank that would allow me to open and activate an account remotely, I stumbled onto Keytrade. I was pleasantly surprised that they allowed me to fill out their comprehensive application form, followed by an acknowledgement and request for identification documentation, which I have provided. I am hopeful that my application will be approved. I found the website user-friendly, so we'll see what happens from here. 	5	51a4219200006400013d6708	en		AU	1	2025-02-02T04:13:11.000Z	8		0	True	Great start with easy application and good communication
info concise	4	5cdc87b0d7bca46191762a69	en		BE	1	2025-01-13T15:49:44.000Z	2		0	False	info concise
Login simplification	5	661bdc6bfc6ed600122d4210	en		BE	1	2025-01-02T12:43:10.000Z	2		0	False	Login simplification
"I recently contacted the Keytrade call center to inquire about opening a bank account, and my experience was nothing short of appalling. I spoke with an agent named Siam on Monday, November 25th, 2024, at around 10:30 am, and was shocked by her rude and unprofessional behavior.

From the start, Siam was dismissive and seemed unwilling to assist me. Her tone was abrupt, and her attitude made me feel like I was an inconvenience rather than a valued potential customer. To make matters worse, she hung up on me in the middle of our conversation. This level of disrespect is unacceptable and has left me questioning how someone with such poor customer service skills was hired for a customer-facing role.

I strongly urge the management to review the recording of this call and address this issue immediately. Such behavior tarnishes Keytrade’s reputation and could deter potential customers from ever considering your services. This experience has made me seriously reconsider whether I want to bank with Keytrade at all."	1	66f2c8d1094dde250b01c7b6	en	"Dear Mr Zekhnini,

We regret to hear of your experience. We appreciate your feedback and assure you that we did review the interaction with this agent. We are taking steps to rectify the situation.

Kind regards,
Veronique, Keytrade Bank team"	GB	1	2024-11-25T11:40:39.000Z	4	2024-11-29T09:14:38.000Z	1	True	I recently contacted the Keytrade call…
"Saw many others complaining about support and want to give good feedback to balance out a bit.

I’ve been customer for around 14y now, got trading, current account, pension and since few months also visa.

Cost for current account is as advertised, no cost and gives back a cent per transaction. (Unlike ING that changed free online account into 2e/month).
The debit card works as other banks, also outside EU.

Trading is same day (dep on market open hour) while ING has a delay of 1d last time I tried.


Support:
I never called on phone, had few queries on different topic through the years and I did all via email with good response time and result. I’m happy in general.


"	5	55bb98180000ff0001d0b2c2	en	"Hello Vincent,

Your positive review means a lot to us. Thank you for taking the time to share your experience.
We're committed to providing excellent service and your feedback encourages us to do better.

Best regards,
Véronique on behalf of the Keytrade Bank team"	BE	1	2024-11-21T19:09:47.000Z	12	2024-11-22T09:33:12.000Z	1	False	Good trading and email support ok
Worst bank in belgium.dont let yourself be fooled by their free account. Zero customer service .they kick you out when they dont earn enough out of you. Claims they dont honour. Go for the well known banks and not this tiny amateuristic bank.	1	5a302bc70000ff000af01b30	en		BE	3	2024-10-05T22:48:02.000Z	11		0	False	Worst bank in belgium.dont let yourself…
I was trying to pay for something a couple of hundreds euro with the credit card and each time I tried to confirm the QR code I was receiving error and it was impossible to finalize the payment. So I called the help desk. The gentlemen on the phone told me there's no request for payment on my account and that problem is with me not with the bank. So thank you for nothing Keytrade Bank - you just lost a client...	1	6295dd5f75d4cc00125734e3	en	"Dear Klient Gosia,

We regret to hear of your experience. We're committed to improving our services and your feedback is very valuable to us.

Best regards,
Véronique, Keytrade Bank team"	DE	1	2024-09-19T17:06:53.000Z	2	2024-10-09T10:29:59.000Z	0	False	Customer service on the lowest level
"
After five years of not using our Keytrade Bank account, we discovered that friends had been depositing money into this account without our knowledge. Unfortunately, we had lost our keys and tokens, making it impossible to access the account. Since January (8 months), we have been trying to regain access, but the customer service has been utterly disappointing. They have failed repeatedly to assist us, leaving us frustrated and concerned. At this point, we are seriously questioning whether we will ever see our money again. The lack of support from Keytrade Bank is truly unacceptable."	1	58f604090000ff000a8e4132	en	"Hello Kristof,

We regret what you have experienced. Based on your comment, we cannot find the details of your file. Can you please provide your details in order to propose a solution for you?

Kind regards,
Veronique, member of the Keytrade Bank team"	BE	1	2024-08-28T12:57:10.000Z	4	2024-08-30T09:04:17.000Z	0	False	support truly unacceptable, gif us our money!
"Card gets blocked because of a scam. So far so good 👍.
We received an email that the amount will be transferred back in a couple of days. Medio augustus still waiting on or money... Several calls, different answers, still no refund...just give us back our stolen money and fulfill your promise!"	1	66b4d8041a266893e9292737	en	"Hello Albert en Marilyn,

We regret what you have experienced. Based on your comment, we cannot find the details of your file. Can you please provide your details in order to verify the situation?

Kind regards,
Veronique, member of the Keytrade Bank team"	BE	1	2024-08-08T16:36:59.000Z	1	2024-08-20T12:17:28.000Z	0	False	Still waiting on our stolen money
