text	rating	language	title
"I got a reply from Veronique Keytrade and I can't reply to that message but basically Keytrade offered 50 euros with the promocode ""50inmypocket"" last year which I did, but every time I tried completing my sign up, the app and website did not work. The QR code also didn't work.

I emailed Keytrade and it was some automated message with help to log in. 

I got fed up and emailed them again but didn't get anymore replies. I can't even close the account. I would show screenshots if I could."	1	en	reply to Veronique
I am an ex-Belgian, now residing in Australia, who receives a modest pension from the Federal Pensions Service. ING's excessive fee structure has prompted me to look for another bank into which my pension can be deposited. After failing to find a bank that would allow me to open and activate an account remotely, I stumbled onto Keytrade. I was pleasantly surprised that they allowed me to fill out their comprehensive application form, followed by an acknowledgement and request for identification documentation, which I have provided. I am hopeful that my application will be approved. I found the website user-friendly, so we'll see what happens from here. 	5	en	Great start with easy application and good communication
info concise	4	en	info concise
Login simplification	5	en	Login simplification
"I recently contacted the Keytrade call center to inquire about opening a bank account, and my experience was nothing short of appalling. I spoke with an agent named Siam on Monday, November 25th, 2024, at around 10:30 am, and was shocked by her rude and unprofessional behavior.

From the start, Siam was dismissive and seemed unwilling to assist me. Her tone was abrupt, and her attitude made me feel like I was an inconvenience rather than a valued potential customer. To make matters worse, she hung up on me in the middle of our conversation. This level of disrespect is unacceptable and has left me questioning how someone with such poor customer service skills was hired for a customer-facing role.

I strongly urge the management to review the recording of this call and address this issue immediately. Such behavior tarnishes Keytrade’s reputation and could deter potential customers from ever considering your services. This experience has made me seriously reconsider whether I want to bank with Keytrade at all."	1	en	I recently contacted the Keytrade call…
"Saw many others complaining about support and want to give good feedback to balance out a bit.

I’ve been customer for around 14y now, got trading, current account, pension and since few months also visa.

Cost for current account is as advertised, no cost and gives back a cent per transaction. (Unlike ING that changed free online account into 2e/month).
The debit card works as other banks, also outside EU.

Trading is same day (dep on market open hour) while ING has a delay of 1d last time I tried.


Support:
I never called on phone, had few queries on different topic through the years and I did all via email with good response time and result. I’m happy in general.


"	5	en	Good trading and email support ok
Worst bank in belgium.dont let yourself be fooled by their free account. Zero customer service .they kick you out when they dont earn enough out of you. Claims they dont honour. Go for the well known banks and not this tiny amateuristic bank.	1	en	Worst bank in belgium.dont let yourself…
I was trying to pay for something a couple of hundreds euro with the credit card and each time I tried to confirm the QR code I was receiving error and it was impossible to finalize the payment. So I called the help desk. The gentlemen on the phone told me there's no request for payment on my account and that problem is with me not with the bank. So thank you for nothing Keytrade Bank - you just lost a client...	1	en	Customer service on the lowest level
"
After five years of not using our Keytrade Bank account, we discovered that friends had been depositing money into this account without our knowledge. Unfortunately, we had lost our keys and tokens, making it impossible to access the account. Since January (8 months), we have been trying to regain access, but the customer service has been utterly disappointing. They have failed repeatedly to assist us, leaving us frustrated and concerned. At this point, we are seriously questioning whether we will ever see our money again. The lack of support from Keytrade Bank is truly unacceptable."	1	en	support truly unacceptable, gif us our money!
"Card gets blocked because of a scam. So far so good 👍.
We received an email that the amount will be transferred back in a couple of days. Medio augustus still waiting on or money... Several calls, different answers, still no refund...just give us back our stolen money and fulfill your promise!"	1	en	Still waiting on our stolen money
When your account gets blocked (e.g. decease), Keytrade is unresponsive. Out 4 banks I have had to deal with Keytrade is by far the slowest, least responsive and most administrative. Furthermore, their Terms & Conditions give them a discretionary, unilateral right to block accounts and zero guidance, procedure or appeal options - unless a lawyer - to unblock. For info: Argenta was by and large the fastest and easiest to work with in my particular case.	2	en	Unresponsive & unhelpful in case of e.g death
Easy to use online banking! Also nice referral bonus!	5	en	Easy to use online banking
"using Keytrade bank for more than 3 years now , with Visa Gold , all free of any kind of charge since i do more than 12 transactionS per year.
i called customer service to have a higher visa limit because of upcoming travel to the US and they did this within 2 days after providing some documents , very smooth and easy .
very satisfied with the service .
if you guys can add Instant payments and Itsme you will be the best bank in Belgium ."	5	en	using Keytrade bank for more than 3…
Horrible service. Devient cher et service client lent et peu amical. A fuir.	1	fr	Horrible service
"Excellent organisme à la base, en chute progressive vertigineuse après la reprise en 2015 par ARKEA. Service clientèle inexistant ou réponses passe-partout sans solutions, service plainte aux abonnés absents. Leur chute dans les comparatifs n'est pas un hasard...
Restent les taux d'épargne qui sont dans la moyenne supérieure.
C'est une de mes banques principales mais j'envisage sérieusement une fameuse réorganisation parce-que les produits, c'est bien... Le considération du client, c'est indispensable."	2	fr	En chute libre
Slechtste en meest onvriendelijke klantenservice ooit. Verdient eigenlijk 0 sterren. Na een half uur wachten een super onvriendelijke en arrogante man aan de lijn die uit zichzelf ophangt omdat hij niet kapabel is het probleem op te lossen. Ik kan geen geld weghalen van mijn Keytrade account, stelletje bedriegers! 	1	nl	Slechtste en meest onvriendelijke…
Na een half uur aan de telefoon mogen wachten,.... schandalig de dienstverlening en arrogantie van de medewerker. Men zou verlegen mogen zijn om zo met een klant om te gaan.  	1	nl	Na een half uur aan de telefoon mogen…
Problemen met overschrijvingen. Al meerdere malen gebeld maar telkens wordt er een ticket aangemaakt en daar blijft het ook bij. Voorlaatste persoon die ik aan de lijn had is niet capabel om zijn job uit te voeren of om te gaan met klanten. Gelukkig had ik laatste maal een vriendelijke dame aan de lijn die goed luisterde en probeerde te helpen. Hopelijk is het snel opgelost. Communicatie is key maar die is ver te zoeken bij jullie. 	1	nl	Problemen met overschrijvingen
