language	word	count
en	reply	10
en	veronique	2
en	got	8
en	keytrade	49
en	cant	16
en	message	3
en	basically	1
en	offered	3
en	50	1
en	euros	3
en	promocode	1
en	50inmypocket	1
en	last	6
en	year	4
en	every	5
en	time	28
en	tried	12
en	completing	1
en	sign	1
en	app	18
en	website	12
en	work	10
en	qr	5
en	code	13
en	also	11
en	didnt	6
en	emailed	4
en	automated	1
en	help	7
en	log	5
en	fed	1
en	get	32
en	anymore	2
en	replies	1
en	even	13
en	close	10
en	account	75
en	would	14
en	show	1
en	screenshots	1
en	could	15
en	great	4
en	start	2
en	easy	7
en	application	10
en	good	11
en	communication	6
en	exbelgian	1
en	residing	1
en	australia	1
en	receives	1
en	modest	1
en	pension	4
en	federal	2
en	pensions	1
en	service	60
en	ings	1
en	excessive	1
en	fee	3
en	structure	1
en	prompted	1
en	look	3
en	another	4
en	bank	94
en	deposited	1
en	failing	1
en	find	2
en	allow	1
en	open	16
en	activate	3
en	remotely	1
en	stumbled	1
en	onto	1
en	pleasantly	1
en	surprised	1
en	allowed	1
en	fill	2
en	comprehensive	1
en	form	2
en	followed	4
en	acknowledgement	1
en	request	7
en	identification	4
en	documentation	2
en	provided	2
en	hopeful	1
en	approved	1
en	found	5
en	userfriendly	2
en	well	4
en	see	7
en	happens	3
en	info	6
en	concise	2
en	login	3
en	simplification	2
en	recently	4
en	contacted	5
en	call	12
en	center	2
en	inquire	1
en	opening	4
en	experience	9
en	nothing	8
en	short	1
en	appalling	1
en	spoke	1
en	agent	1
en	named	1
en	siam	2
en	monday	1
en	november	3
en	25th	1
en	2024	1
en	around	4
en	1030	1
en	shocked	1
en	rude	2
en	unprofessional	2
en	behavior	2
en	dismissive	1
en	seemed	1
en	unwilling	1
en	assist	2
en	tone	1
en	abrupt	1
en	attitude	1
en	made	7
en	feel	1
en	like	15
en	inconvenience	1
en	rather	1
en	valued	1
en	potential	3
en	customer	58
en	make	4
en	matters	1
en	worse	1
en	hung	1
en	middle	3
en	conversation	1
en	level	3
en	disrespect	1
en	unacceptable	3
en	left	1
en	questioning	2
en	someone	7
en	poor	9
en	skills	1
en	hired	1
en	customerfacing	1
en	role	1
en	strongly	1
en	urge	2
en	management	3
en	review	2
en	recording	1
en	address	4
en	issue	5
en	immediately	6
en	tarnishes	1
en	keytrades	3
en	reputation	1
en	deter	1
en	customers	3
en	ever	17
en	considering	2
en	services	12
en	seriously	2
en	reconsider	1
en	whether	2
en	want	14
en	trading	15
en	email	18
en	support	23
en	ok	6
en	saw	1
en	many	5
en	others	1
en	complaining	1
en	give	11
en	feedback	2
en	balance	3
en	bit	1
en	ive	4
en	14y	1
en	current	5
en	since	16
en	months	11
en	visa	6
en	cost	8
en	advertised	1
en	gives	2
en	back	16
en	cent	2
en	per	3
en	transaction	9
en	unlike	1
en	ing	2
en	changed	4
en	free	8
en	online	24
en	2emonth	1
en	debit	2
en	card	14
en	works	4
en	banks	5
en	outside	2
en	eu	2
en	day	4
en	dep	1
en	market	10
en	hour	3
en	delay	2
en	1d	1
en	never	13
en	called	10
en	phone	22
en	queries	1
en	different	5
en	topic	1
en	years	12
en	via	2
en	response	10
en	result	3
en	im	13
en	happy	8
en	general	2
en	worst	17
en	belgiumdont	2
en	let	4
en	fooled	1
en	zero	4
en	kick	1
en	dont	20
en	earn	1
en	enough	1
en	claims	2
en	honour	1
en	go	5
en	known	1
en	tiny	1
en	amateuristic	2
en	lowest	2
en	trying	16
en	pay	3
en	something	6
en	couple	2
en	hundreds	1
en	euro	1
en	credit	7
en	confirm	3
en	receiving	3
en	error	4
en	impossible	8
en	finalize	1
en	payment	5
en	desk	4
en	gentlemen	1
en	told	4
en	theres	3
en	problem	10
en	thank	2
en	lost	3
en	client	4
en	truly	2
en	gif	1
en	us	5
en	money	30
en	five	1
en	using	6
en	discovered	2
en	friends	1
en	depositing	1
en	without	13
en	knowledge	1
en	unfortunately	1
en	keys	1
en	tokens	1
en	making	2
en	access	10
en	january	2
en	regain	2
en	utterly	1
en	disappointing	1
en	failed	1
en	repeatedly	1
en	leaving	1
en	frustrated	1
en	concerned	2
en	point	5
en	lack	2
en	still	19
en	waiting	11
en	stolen	4
en	gets	3
en	blocked	6
en	scam	2
en	far	7
en	received	8
en	amount	2
en	transferred	1
en	days	5
en	medio	1
en	augustus	1
en	several	7
en	calls	8
en	answers	3
en	refundjust	1
en	fulfill	1
en	promise	1
en	unresponsive	2
en	unhelpful	1
en	case	3
en	eg	2
en	death	1
en	decease	1
en	deal	7
en	slowest	1
en	least	3
en	responsive	1
en	administrative	2
en	furthermore	1
en	terms	2
en	conditions	3
en	discretionary	1
en	unilateral	1
en	right	3
en	block	2
en	accounts	6
en	guidance	1
en	procedure	3
en	appeal	1
en	options	2
en	unless	1
en	lawyer	1
en	unblock	1
en	argenta	3
en	large	1
en	fastest	1
en	easiest	1
en	particular	2
en	use	14
en	banking	15
en	nice	3
en	referral	1
en	bonus	1
en	gold	1
en	kind	1
en	charge	12
en	12	2
en	transactions	6
en	higher	1
en	limit	1
en	upcoming	1
en	travel	1
en	within	4
en	providing	4
en	documents	8
en	smooth	2
en	satisfied	1
en	guys	3
en	add	1
en	instant	1
en	payments	1
en	itsme	3
en	best	3
en	belgium	7
en	complaints	2
en	issues	3
en	bankcards	1
en	reactive	2
en	terrible	11
en	extremely	4
en	long	7
en	times	14
en	people	7
en	sound	2
en	students	1
en	listen	1
en	say	3
en	speak	4
en	barely	2
en	dutch	1
en	lousy	1
en	occasional	1
en	thing	6
en	really	8
en	always	6
en	respond	8
en	trustpilot	1
en	working	1
en	diligently	1
en	enhance	1
en	decrease	1
en	based	2
en	resolved	2
en	reviews	1
en	going	6
en	ages	4
en	setup	3
en	creating	1
en	full	2
en	month	7
en	suddenly	3
en	asking	5
en	personal	1
en	irrelevant	1
en	information	7
en	30	1
en	havent	1
en	letter	4
en	activating	1
en	wasted	1
en	recommend	6
en	avoid	5
en	child	2
en	went	6
en	wrong	7
en	took	6
en	weeks	22
en	opened	5
en	name	3
en	40min	2
en	wait	3
en	fault	2
en	selected	1
en	kids	1
en	plan	2
en	although	1
en	requested	4
en	ask	9
en	copy	4
en	id	2
en	childs	1
en	submitted	4
en	emails	10
en	update	3
en	know	2
en	whos	1
en	nearly	1
en	10	4
en	contacts	1
en	period	2
en	takes	10
en	forever	1
en	anybody	2
en	pick	2
en	minutes	5
en	hang	1
en	today	2
en	possible	6
en	false	1
en	receivedended	1
en	screamed	1
en	identified	1
en	namebirthdatebirthplace	1
en	giving	3
en	portefolio	1
en	stocks	6
en	asked	7
en	done	4
en	recall	1
en	non	1
en	intuitive	1
en	difficult	4
en	easycompared	1
en	charles	1
en	schwab	1
en	night	1
en	vs	1
en	net	1
en	netawful	1
en	approach	1
en	slow	10
en	ineffective	1
en	pleasant	1
en	recommended	2
en	kafkaesque	1
en	endless	1
en	loops	3
en	nonintuitive	1
en	arrogant	1
en	worth	2
en	created	2
en	goes	1
en	bugs	1
en	painful	1
en	experiences	3
en	simply	5
en	disappear	1
en	sorry	1
en	helpdesk	3
en	regarding	1
en	stock	7
en	split	1
en	answer	9
en	hours	3
en	looks	2
en	improved	1
en	bad	13
en	simple	9
en	et	6
en	efficace	3
en	company	3
en	reachable	2
en	dirty	1
en	tactics	1
en	messing	1
en	music	1
en	queue	2
en	distorted	1
en	keep	1
en	line	5
en	requests	4
en	remain	2
en	unanswered	2
en	generic	1
en	threatening	1
en	authorities	2
en	involved	1
en	action	2
en	stay	4
en	away	9
en	blocking	2
en	telling	1
en	becomes	1
en	big	3
en	challenge	1
en	said	6
en	missing	1
en	ones	1
en	one	21
en	week	5
en	later	8
en	multiple	5
en	reason	3
en	unable	3
en	saying	5
en	complaint	1
en	forwarded	1
en	department	1
en	yet	3
en	able	2
en	anything	6
en	transparency	1
en	relocated	1
en	forced	1
en	despite	2
en	prior	1
en	warning	1
en	file	1
en	refused	4
en	provide	2
en	explanationdetail	1
en	awful	3
en	plenty	3
en	better	3
en	niche	1
en	oh	1
en	regret	3
en	lot	6
en	detours	1
en	everything	8
en	installed	1
en	payconic	1
en	hasnt	2
en	worked	3
en	crashes	1
en	often	4
en	meaning	1
en	necessary	4
en	answering	1
en	way	3
en	communicating	2
en	annoyed	1
en	switching	1
en	administration	1
en	birth	1
en	date	2
en	system	6
en	sent	5
en	passport	1
en	ago	5
en	costs	4
en	quite	2
en	high	7
en	20	1
en	ib	1
en	keytradebank	4
en	acknowledge	1
en	recent	1
en	negative	3
en	users	1
en	posted	1
en	previously	1
en	number	3
en	keeps	1
en	hook	1
en	weblink	1
en	suggested	1
en	certain	2
en	véronique	1
en	absurd	1
en	results	1
en	filed	1
en	identical	1
en	paying	2
en	regular	2
en	portfolio	2
en	however	3
en	fund	2
en	invested	1
en	present	1
en	value	1
en	updated	1
en	direct	4
en	utiliser	2
en	cest	2
en	vrai	1
en	que	1
en	lon	1
en	reçoit	1
en	5cents	1
en	par	1
en	canal	2
en	de	2
en	fiable	1
en	checking	1
en	view	1
en	limited	1
en	autpilor	1
en	investing	4
en	cheaper	1
en	brokers	5
en	site	6
en	informations	2
en	parfait	4
en	efficiente	2
en	en	2
en	prima	1
en	super	3
en	offers	3
en	pays	1
en	products	1
en	recurrent	1
en	blockedno	1
en	rental	3
en	car	2
en	supposedly	2
en	attempts	1
en	absolutely	1
en	14	1
en	203020	1
en	unblocked	1
en	become	2
en	active	1
en	airport	1
en	faro	1
en	portugal	1
en	receive	5
en	reserved	1
en	steal	2
en	clearly	2
en	shows	1
en	biggest	1
en	scammers	2
en	economy	1
en	first	6
en	thousands	1
en	conversion	1
en	fees	7
en	moving	2
en	messages	1
en	24	2
en	noticed	2
en	110	1
en	eur	2
en	suggest	2
en	everyone	2
en	breach	2
en	art	2
en	echr	3
en	compliance	3
en	addition	2
en	requesting	1
en	source	1
en	funds	5
en	accordance	1
en	aml	1
en	directives	1
en	required	1
en	past	1
en	18	1
en	basis	1
en	unnecessary	1
en	disproportionate	1
en	intrusion	1
en	private	1
en	family	1
en	life	1
en	article	1
en	notified	1
en	closing	3
en	explanation	2
en	abusive	1
en	causes	1
en	tremendous	1
en	distress	1
en	appbank	1
en	stuck	1
en	loan	1
en	advice	1
en	anyone	3
en	spent	1
en	bancontact	1
en	trash	1
en	half	3
en	debited	1
en	arriving	1
en	marchand	1
en	moth	1
en	mobile	3
en	contact	7
en	question	1
en	stupidest	1
en	human	1
en	alive	1
en	1998	2
en	starting	1
en	wonder	2
en	van	1
en	moer	1
en	santerre	1
en	platform	3
en	benelux	1
en	charm	1
en	taken	3
en	crédit	1
en	mutuel	1
en	arkéa	1
en	south	1
en	especially	2
en	assistance	2
en	quality	2
en	started	2
en	90s	1
en	pretty	4
en	exotic	1
en	derivatives	1
en	trade	3
en	beg	1
en	create	1
en	equity	1
en	probably	5
en	expensive	2
en	meanwhile	1
en	outdated	1
en	modifying	1
en	pending	1
en	order	6
en	needs	1
en	cancel	2
en	enter	1
en	renewed	1
en	needed	3
en	modified	1
en	mails	4
en	waited	1
en	30min	1
en	picked	1
en	fine	2
en	2023	2
en	authorisation	1
en	mediator	1
en	costly	1
en	small	2
en	problems	2
en	benefits	1
en	though	1
en	errors	2
en	allowing	1
en	buy	4
en	sell	4
en	exist	2
en	selling	3
en	cancelling	1
en	available	3
en	transfer	6
en	mess	1
en	insufficient	1
en	solution	2
en	cards	1
en	surprisingly	1
en	trip	1
en	canada	1
en	unlock	1
en	locked	1
en	explaining	2
en	remember	1
en	pin	1
en	move	4
en	abroad	2
en	method	1
en	worry	1
en	theyll	1
